359,127,435,129,434,147,359,145
250,362,384,359,385,377,251,379
266,86,380,87,380,106,266,104
609,338,700,336,701,354,609,356
212,385,320,387,319,406,211,404
443,303,525,301,525,319,443,321
137,161,213,162,213,179,137,178
219,106,321,108,320,125,219,123
184,343,281,343,281,359,184,359
347,320,400,319,400,336,347,336
336,302,421,305,420,320,336,318
412,88,496,89,495,108,412,106
302,224,395,225,395,240,302,240
171,413,221,414,220,432,171,431
260,303,322,304,321,319,259,318
228,283,329,285,329,301,228,300
559,358,620,357,621,373,560,375
348,107,443,111,443,129,347,125
556,381,608,379,608,396,556,398
276,318,332,319,331,337,275,336
132,363,188,363,188,378,133,378
128,180,185,180,185,198,128,198
411,411,531,409,532,425,411,428
696,516,757,517,756,540,696,539
128,198,178,199,178,218,128,217
475,285,524,283,524,298,475,299
406,225,468,226,468,240,405,240
649,283,694,282,694,297,649,297
242,181,288,181,288,196,242,197
580,111,621,113,620,129,580,127
208,321,267,321,267,336,208,336
132,387,183,386,183,404,133,405
317,162,354,162,354,177,317,176
290,180,339,181,339,198,290,197
184,304,225,305,225,321,184,320
131,286,168,285,169,301,131,302
481,225,547,224,547,241,482,242
199,264,252,264,252,280,199,281
238,226,286,226,286,240,238,240
131,343,174,342,174,358,131,359
603,517,635,517,636,538,603,539
127,220,158,221,157,236,127,235
130,265,171,265,172,281,131,281
514,382,551,382,551,398,514,398
189,283,230,285,229,302,189,301
134,304,175,305,175,320,134,319
501,265,546,264,546,279,501,280
411,341,454,340,454,356,411,357
672,113,717,113,717,129,671,128
230,413,267,412,267,430,231,431
260,161,312,161,312,177,260,177
474,385,512,384,513,398,475,400
652,518,676,518,676,539,652,539
549,264,588,264,588,279,549,279
560,340,600,340,600,355,560,354
631,317,681,317,681,333,631,333
130,321,172,321,172,336,130,337
503,110,563,112,563,128,502,126
166,221,219,222,219,236,166,236
611,282,639,284,638,299,610,298
526,285,553,284,554,297,527,298
285,343,348,343,348,358,285,358
538,318,573,317,573,333,538,334
276,200,314,200,314,215,276,215
190,181,232,181,232,196,190,196
229,200,273,200,274,215,229,216
348,342,395,342,395,357,348,358
461,340,487,340,487,355,461,355
646,407,676,407,676,421,646,421
471,319,515,318,516,333,472,334
316,265,356,265,356,281,316,281
322,109,349,109,349,123,322,123
555,407,590,407,590,423,555,423
675,406,714,406,714,421,675,421
470,110,499,110,499,125,469,124
589,407,626,406,626,423,590,423
174,265,197,264,197,279,174,280
305,413,333,412,334,431,305,432
385,88,412,88,411,105,384,104
715,338,742,338,742,352,715,352
264,267,305,264,306,279,265,282
366,412,401,412,401,428,366,429
191,363,220,361,220,377,191,378
514,360,542,359,542,373,514,374
224,161,250,161,251,176,225,177
230,305,262,306,262,319,230,318
650,112,671,113,671,128,650,127
559,283,588,283,587,298,559,297
623,407,649,406,649,422,623,422
622,112,647,113,646,127,621,126
716,112,737,114,737,129,715,128
175,199,206,200,206,217,175,216
510,302,544,302,544,317,510,317
