965,1073,1259,1068,1260,1125,965,1130
1459,1114,1689,1100,1695,1204,1465,1219
1259,1223,1574,1217,1574,1257,1260,1264
1008,189,1368,198,1366,254,1006,244
709,1246,965,1241,966,1289,710,1294
258,408,556,414,555,472,256,467
219,845,431,847,431,895,219,893
951,916,1257,913,1257,969,952,971
957,837,1221,835,1222,883,957,884
223,157,551,164,549,218,221,211
216,929,525,920,527,982,218,990
974,1291,1142,1263,1155,1344,987,1371
992,351,1330,354,1329,408,991,404
1224,426,1442,429,1441,489,1223,486
439,1256,697,1251,698,1295,440,1300
1436,517,1658,521,1657,575,1435,572
966,766,1296,767,1295,815,966,813
968,257,1221,265,1220,313,966,306
217,233,431,239,429,292,216,286
220,1013,357,1012,358,1063,220,1065
461,502,744,509,742,568,460,562
1368,356,1512,363,1509,419,1365,412
1323,761,1576,764,1576,813,1322,810
961,599,1209,601,1208,647,961,644
1433,197,1589,206,1585,265,1429,256
222,772,428,771,428,821,222,822
507,1313,650,1313,649,1365,506,1365
219,501,445,504,444,556,219,553
1354,1277,1558,1271,1559,1312,1355,1318
218,329,426,333,425,386,217,381
632,164,838,173,836,229,630,221
708,921,834,922,834,981,708,980
444,592,580,596,578,657,442,653
1248,678,1556,676,1557,726,1248,729
971,513,1265,515,1265,569,971,566
1226,264,1446,271,1444,319,1225,313
448,237,602,245,599,298,445,290
216,674,439,672,440,723,217,725
965,676,1237,677,1237,731,964,730
675,1309,844,1307,845,1347,675,1348
1073,995,1205,996,1205,1041,1072,1040
1247,1281,1341,1280,1342,1320,1247,1322
218,592,355,595,354,657,217,655
223,1096,347,1099,346,1148,222,1145
550,922,696,923,695,975,550,974
1462,274,1591,281,1588,325,1459,318
445,770,598,774,597,822,444,819
374,1012,475,1014,474,1060,373,1058
1067,425,1217,428,1216,476,1066,473
621,1007,750,1006,751,1064,622,1065
955,998,1060,999,1059,1045,954,1044
489,1005,607,1007,607,1060,489,1058
1565,676,1670,679,1668,730,1563,727
438,336,581,340,580,390,437,386
1586,417,1709,420,1707,474,1585,471
589,667,720,679,714,741,583,729
1803,1243,1920,1240,1922,1322,1805,1325
1591,1352,1708,1350,1709,1405,1592,1407
1495,418,1588,420,1587,470,1494,468
434,673,581,678,579,727,432,722
428,1092,561,1092,561,1141,428,1141
365,596,429,594,430,641,366,643
356,1094,425,1093,426,1140,357,1142
1785,1352,1862,1351,1862,1405,1785,1406
1467,1352,1554,1350,1555,1405,1468,1407
568,168,644,169,643,220,567,219
436,1322,489,1321,490,1359,437,1360
